timestamp,head_pitch,head_roll,head_movement,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma,heart_rate_bpm,breathing_rate_bpm
1762639153.781922,-18.52725816708746,-15.687057565806743,0.9922962065923191,,,,,,,,,,,,,,,,,,,,,,
1762639154.820669,-29.552028734852875,-6.487176368425678,1.0178438159459504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1762639155.855297,-14.67714425732956,-2.3129030739147485,1.0240300927789625,284442.59851997014,3939.1552240293213,13988.183066372865,3540.0216975484686,75.38185657679713,16231.404137933621,521.951626106169,1621.7922900764474,220.61204737977695,205.75187693433895,2838.9320059042393,28.979516931598308,368.8611850575823,56.82901816968516,87.44497478879508,255536.3239502324,1635.180200496522,10954.078029262275,438.6568828093307,44.63982541240719,55.65217391304348,
1762639156.891278,-10.853981790832448,-5.794902910763714,0.9749726438877285,281657.4920839205,10110.285766760762,6390.677116443008,2235.9872989856,41.82933832522251,13881.841414614695,513.0168485333485,1793.7018992072913,331.97996982528696,494.9350521931014,3410.6077550807167,23.34625488213296,302.3817592150138,45.402904884972436,98.87363815119812,363165.5207679076,19349.55270141501,8574.099296855147,254.76112246178684,25.244612855363382,62.4390243902439,
1762639157.922912,-20.664449585439584,-4.283386740908634,1.0017612468341344,118854.43917764378,25391.851761638194,5343.3941040811,2125.4311367072305,40.21030830224109,8000.335085960883,938.4818381519344,1983.7091361458324,394.6859233861681,652.8198619764696,2536.1286546566052,104.58862968471392,278.2510753709225,48.1022140517394,96.71245380073721,623649.5369324321,34739.69360970616,6157.322421205435,254.17037584194853,18.166842314688914,43.389830508474574,
1762639158.924454,-22.189336303881674,-6.077365407920857,1.0092577458431211,155624.45050161876,23627.519999452732,5543.663795394531,2124.285387143594,40.20774792819227,16146.754463544541,1189.1338493992407,2021.1725574042123,403.0690324978039,652.8759578762956,3857.304129547094,134.8921006431589,271.61952134755563,48.04479274932567,96.70793167858979,508512.40389029484,40357.44173973259,6035.951456908219,253.63361655360535,18.16775163637907,51.891891891891895,
1762639159.9356842,-16.444570676191105,-5.399202394683911,0.9833759238788191,162246.49529097416,22992.378605760285,5585.671902569284,2124.3045862817985,40.20762722239659,14656.71683732867,978.3416120345719,2013.8726935951963,399.6516152647737,652.8698012795688,3589.260299373362,135.58209648032536,272.14582299571765,48.049019399579414,96.70437317702351,599162.6072276486,42445.402716136115,5998.912236682965,253.96283892855902,18.167200138293904,40.421052631578945,
1762639160.971033,-17.700013845250574,-8.149826318199638,1.000144937819241,214080.78566118656,31929.49448869357,4828.898425698948,1489.9891756864167,63.83749030382167,28037.725008229376,5204.216474240668,2676.9803905255344,583.0781548319217,593.5077512563755,3566.3064821393023,233.608019234044,244.47097532460137,59.13986866231063,86.37178139497334,515502.570958891,51330.988474853024,13425.903868201101,1241.6049458962962,30.465034460202393,41.73913043478261,
1762639162.003849,-17.962648142611453,-15.566087443631424,0.9891600630590746,189058.36166310392,32183.074362590916,4816.28737051612,1489.9746006356074,63.83732295628205,27825.825333634522,5072.893882545802,2704.209058986252,591.3514132284095,602.7099066187869,3237.65603465053,237.16505309816648,243.70332132547554,59.11341632129994,86.37292750797035,540750.356021075,52407.799413079825,13174.913486342914,1241.989214810585,30.465123146409866,37.83251231527094,
1762639163.005919,-16.04928510657779,-8.85594185515616,0.995455501498934,149080.15536503744,21773.2026466189,3925.9962129486,1214.9980064390284,47.295006417305885,20107.741757973497,3577.089108853133,1910.207207367655,461.9046191036306,448.6777464902774,2625.344248144889,193.50559827809292,272.59782126558804,67.47433627489534,88.84745376344175,509942.66382963915,48398.106571064694,11605.318012976433,1212.528711521794,24.386149739726005,38.78787878787879,10.026109660574413
